# --- TILES ---
tile 1 0
tile 2 0
tile 3 0
tile 4 0
tile 5 0
tile 6 0
tile 7 0
tile 8 0
tile 9 0
tile 10 0
tile 11 0
tile 12 0
tile 13 0
tile 14 0
tile 15 0
tile 16 0
tile 17 0
tile 18 0
tile 1 1
tile 12 1
tile 18 1
tile 1 2
tile 18 2
tile 1 3
tile 18 3
tile 1 4
tile 12 4
tile 18 4
tile 1 5
tile 12 5
tile 13 5
tile 14 5
tile 15 5
tile 16 5
tile 17 5
tile 18 5
tile 1 6
tile 12 6
tile 18 6
tile 1 7
tile 18 7
tile 1 8
tile 18 8
tile 1 9
tile 12 9
tile 18 9
tile 0 10
tile 1 10
tile 2 10
tile 4 10
tile 5 10
tile 6 10
tile 7 10
tile 8 10
tile 11 10
tile 12 10
tile 18 10
tile 0 11
tile 7 11
tile 12 11
tile 18 11
tile 0 12
tile 18 12
tile 0 13
tile 18 13
tile 0 14
tile 7 14
tile 12 14
tile 18 14
tile 0 15
tile 7 15
tile 8 15
tile 9 15
tile 10 15
tile 11 15
tile 12 15
tile 13 15
tile 14 15
tile 15 15
tile 17 15
tile 18 15
tile 0 16
tile 7 16
tile 18 16
tile 0 17
tile 7 17
tile 18 17
tile 0 18
tile 1 18
tile 2 18
tile 3 18
tile 4 18
tile 5 18
tile 6 18
tile 7 18
tile 18 18
tile 7 19
tile 18 19
tile 7 20
tile 18 20
tile 7 21
tile 8 21
tile 9 21
tile 10 21
tile 11 21
tile 12 21
tile 13 21
tile 14 21
tile 15 21
tile 16 21
tile 17 21
tile 18 21

# --- PLAYERS ---
player 9 13

# --- KNIFEENEMYS ---
knifeEnemy 2 6
knifeEnemy 17 7
knifeEnemy 13 9
knifeEnemy 5 16

# --- PISTOLENEMYS ---
pistolEnemy 3 1
pistolEnemy 9 4
pistolEnemy 2 12

# --- RIFLEENEMYS ---
rifleEnemy 15 14

# --- SHOTGUNENEMYS ---
shotgunEnemy 16 2

# --- PISTOLITEMS ---
pistolItem 2 16

# --- RIFLEITEMS ---
rifleItem 4 2
rifleItem 16 19

# --- SHOTGUNITEMS ---
shotgunItem 14 4

# --- PISTOLAMMOITEMS ---
pistolAmmoItem 2 8
pistolAmmoItem 2 9

# --- RIFLEAMMOITEMS ---
rifleAmmoItem 8 17
rifleAmmoItem 8 18

# --- SHOTGUNAMMOITEMS ---
shotgunAmmoItem 13 1
shotgunAmmoItem 17 1
shotgunAmmoItem 17 4

# --- HEALITEMS ---
healItem 5 4
healItem 11 9
healItem 13 14

