# --- TILES ---
tile 24 0
tile 25 0
tile 26 0
tile 27 0
tile 28 0
tile 29 0
tile 30 0
tile 31 0
tile 32 0
tile 33 0
tile 24 1
tile 33 1
tile 24 2
tile 33 2
tile 24 3
tile 33 3
tile 24 4
tile 33 4
tile 0 5
tile 1 5
tile 2 5
tile 3 5
tile 4 5
tile 6 5
tile 7 5
tile 8 5
tile 9 5
tile 10 5
tile 11 5
tile 12 5
tile 13 5
tile 14 5
tile 15 5
tile 16 5
tile 17 5
tile 18 5
tile 24 5
tile 33 5
tile 0 6
tile 4 6
tile 6 6
tile 18 6
tile 24 6
tile 33 6
tile 0 7
tile 4 7
tile 5 7
tile 6 7
tile 18 7
tile 19 7
tile 20 7
tile 21 7
tile 22 7
tile 23 7
tile 24 7
tile 33 7
tile 0 8
tile 33 8
tile 0 9
tile 33 9
tile 0 10
tile 4 10
tile 5 10
tile 6 10
tile 18 10
tile 19 10
tile 20 10
tile 21 10
tile 22 10
tile 23 10
tile 24 10
tile 33 10
tile 0 11
tile 4 11
tile 6 11
tile 18 11
tile 24 11
tile 33 11
tile 0 12
tile 1 12
tile 2 12
tile 3 12
tile 4 12
tile 6 12
tile 7 12
tile 8 12
tile 9 12
tile 10 12
tile 11 12
tile 12 12
tile 13 12
tile 16 12
tile 17 12
tile 18 12
tile 24 12
tile 33 12
tile 13 13
tile 16 13
tile 24 13
tile 33 13
tile 6 14
tile 7 14
tile 8 14
tile 9 14
tile 10 14
tile 11 14
tile 13 14
tile 16 14
tile 24 14
tile 33 14
tile 6 15
tile 11 15
tile 12 15
tile 13 15
tile 16 15
tile 24 15
tile 33 15
tile 6 16
tile 16 16
tile 24 16
tile 33 16
tile 6 17
tile 16 17
tile 24 17
tile 25 17
tile 26 17
tile 27 17
tile 30 17
tile 31 17
tile 32 17
tile 33 17
tile 6 18
tile 11 18
tile 12 18
tile 13 18
tile 14 18
tile 15 18
tile 16 18
tile 27 18
tile 30 18
tile 6 19
tile 7 19
tile 8 19
tile 9 19
tile 10 19
tile 11 19
tile 27 19
tile 30 19
tile 16 20
tile 17 20
tile 18 20
tile 19 20
tile 20 20
tile 21 20
tile 22 20
tile 23 20
tile 24 20
tile 25 20
tile 26 20
tile 27 20
tile 30 20
tile 31 20
tile 32 20
tile 33 20
tile 16 21
tile 33 21
tile 16 22
tile 33 22
tile 16 23
tile 33 23
tile 16 24
tile 33 24
tile 16 25
tile 33 25
tile 16 26
tile 17 26
tile 18 26
tile 19 26
tile 20 26
tile 21 26
tile 22 26
tile 23 26
tile 24 26
tile 25 26
tile 26 26
tile 27 26
tile 28 26
tile 29 26
tile 30 26
tile 31 26
tile 32 26
tile 33 26

# --- PLAYERS ---
player 8 17

# --- KNIFEENEMYS ---
knifeEnemy 26 5   26 5   31 5
knifeEnemy 17 6   17 6   17 11
knifeEnemy 8 11   8 11    8 6
knifeEnemy 31 12  31 12  26 12

# --- PISTOLENEMYS ---
pistolEnemy 31 2  31 2   26 2
pistolEnemy 26 15 26 15  31 15
pistolEnemy 25 22 25 22  25 24

# --- RIFLEENEMYS ---
rifleEnemy 18 24  18 24  18 22

# --- PISTOLITEMS ---
pistolItem 1 11

# --- PISTOLAMMOITEMS ---
pistolAmmoItem 1 6
pistolAmmoItem 3 6

# --- HEALITEMS ---
healItem 3 11
healItem 25 11
healItem 32 21

