# --- TILES ---
tile 2 0
tile 3 0
tile 4 0
tile 5 0
tile 6 0
tile 7 0
tile 8 0
tile 9 0
tile 10 0
tile 11 0
tile 12 0
tile 13 0
tile 14 0
tile 15 0
tile 16 0
tile 17 0
tile 18 0
tile 19 0
tile 2 1
tile 19 1
tile 2 2
tile 19 2
tile 2 3
tile 19 3
tile 2 4
tile 5 4
tile 6 4
tile 10 4
tile 11 4
tile 15 4
tile 16 4
tile 19 4
tile 2 5
tile 5 5
tile 6 5
tile 10 5
tile 11 5
tile 15 5
tile 16 5
tile 19 5
tile 2 6
tile 19 6
tile 2 7
tile 19 7
tile 2 8
tile 19 8
tile 2 9
tile 3 9
tile 4 9
tile 5 9
tile 6 9
tile 7 9
tile 8 9
tile 9 9
tile 12 9
tile 13 9
tile 14 9
tile 15 9
tile 16 9
tile 17 9
tile 18 9
tile 19 9
tile 9 10
tile 12 10
tile 3 11
tile 4 11
tile 5 11
tile 6 11
tile 7 11
tile 8 11
tile 9 11
tile 12 11
tile 13 11
tile 14 11
tile 15 11
tile 16 11
tile 17 11
tile 18 11
tile 3 12
tile 18 12
tile 20 12
tile 21 12
tile 22 12
tile 23 12
tile 24 12
tile 25 12
tile 26 12
tile 27 12
tile 28 12
tile 29 12
tile 30 12
tile 3 13
tile 18 13
tile 20 13
tile 30 13
tile 3 14
tile 18 14
tile 19 14
tile 20 14
tile 30 14
tile 3 15
tile 30 15
tile 3 16
tile 30 16
tile 3 17
tile 18 17
tile 19 17
tile 20 17
tile 30 17
tile 3 18
tile 18 18
tile 20 18
tile 30 18
tile 3 19
tile 18 19
tile 20 19
tile 21 19
tile 22 19
tile 23 19
tile 26 19
tile 27 19
tile 28 19
tile 29 19
tile 30 19
tile 3 20
tile 4 20
tile 5 20
tile 6 20
tile 7 20
tile 8 20
tile 9 20
tile 12 20
tile 13 20
tile 14 20
tile 15 20
tile 16 20
tile 17 20
tile 18 20
tile 23 20
tile 26 20
tile 9 21
tile 12 21
tile 23 21
tile 26 21
tile 27 21
tile 28 21
tile 29 21
tile 30 21
tile 3 22
tile 4 22
tile 5 22
tile 6 22
tile 7 22
tile 8 22
tile 9 22
tile 12 22
tile 13 22
tile 14 22
tile 15 22
tile 16 22
tile 17 22
tile 18 22
tile 23 22
tile 30 22
tile 3 23
tile 18 23
tile 23 23
tile 30 23
tile 3 24
tile 18 24
tile 23 24
tile 24 24
tile 25 24
tile 26 24
tile 27 24
tile 30 24
tile 3 25
tile 6 25
tile 7 25
tile 8 25
tile 9 25
tile 10 25
tile 11 25
tile 12 25
tile 13 25
tile 14 25
tile 15 25
tile 18 25
tile 23 25
tile 30 25
tile 3 26
tile 6 26
tile 15 26
tile 18 26
tile 23 26
